epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,1.5635620798501704,0.30510314875135724,0.3020863458988834,1.267402054535018,0.5899218071242398,0.5824619502361217,0.0001
2,1.4434731834464603,0.32920738327904453,0.32729853656362395,1.1666498250431485,0.6542137271937446,0.6556593724681585,9.98458666866564e-05
3,1.415842822028531,0.351357220412595,0.3493047348070755,1.1528199364741643,0.6646394439617723,0.6627374863613027,9.938441702975689e-05
4,1.38855912660559,0.3690553745928339,0.3668496913096961,1.1251977980136871,0.6672458731537794,0.6629050778161801,9.861849601988383e-05
5,1.3657833114266396,0.3729641693811075,0.3710353258891176,1.1087551199727588,0.6785403996524761,0.6776031612778955,9.755282581475767e-05
6,1.3673103315134842,0.3762214983713355,0.3747188438969743,1.1062985211610794,0.6724587315377932,0.670558599107694,9.619397662556432e-05
7,1.3465230862299602,0.4008686210640608,0.3992839216430331,1.0798958490292232,0.68375325803649,0.6822366964844238,9.455032620941837e-05
8,1.3512017188800707,0.3695982627578719,0.36860892351714314,1.087101514140765,0.682015638575152,0.6826415421370013,9.26320082177046e-05
9,1.311035292637017,0.3829533116178067,0.3818190289969574,1.0569844328694873,0.6863596872284969,0.6856176136603213,9.045084971874737e-05
10,1.3078463667382796,0.3970684039087948,0.39608388200794803,1.0412303689453337,0.6967854039965248,0.6950543492254552,8.802029828000154e-05
11,1.2968965990261898,0.38490770901194354,0.3835568700921594,1.0461567921770945,0.685490877497828,0.6835610585001549,8.535533905932737e-05
12,1.2885683203736942,0.42062975027144406,0.41928615367598004,1.0463113056288824,0.6907037358818419,0.6883942867795685,8.247240241650918e-05
13,1.2737999005864065,0.38870792616720956,0.38792079942429136,1.0350053558746974,0.7019982623805386,0.6990947414844282,7.938926261462365e-05
14,1.2679132378349702,0.41596091205211727,0.41489077346954917,1.0179213947719998,0.7132927888792354,0.7128166686241237,7.612492823579742e-05
15,1.276744415362676,0.39207383279044516,0.3912150809313389,1.0115356577767267,0.7176368375325803,0.7175557196407379,7.269952498697731e-05
16,1.2706326122085254,0.4003257328990228,0.39956589996731295,1.0120618773831263,0.7124239791485665,0.7119300921793235,6.913417161825447e-05
17,1.271840673353937,0.4236699239956569,0.42283358350610134,1.008526732524236,0.7150304083405734,0.7140437754034764,6.545084971874736e-05
18,1.2572101762311325,0.4239956568946797,0.42281118080760804,1.0025552925136354,0.7185056472632494,0.7176418072164948,6.167226819279526e-05
19,1.2326667704102066,0.4224755700325733,0.42165907219043003,1.001361413134469,0.7141615986099045,0.7154554894309098,5.7821723252011525e-05
20,1.2413326315581799,0.4102062975027144,0.40932364705547625,0.982412576675415,0.7306689834926151,0.7297323211980773,5.392295478639223e-05
21,1.2379901280833616,0.40380021715526604,0.4026609710638366,0.984563840760125,0.7306689834926151,0.7296509472601113,4.999999999999998e-05
22,1.2283777124765847,0.41541802388707927,0.4145048363611998,0.9861189491218991,0.7298001737619462,0.7277959732236654,4.607704521360774e-05
23,1.2250168702254693,0.41454940282301844,0.4135079892281439,0.9837082806560729,0.7341442224152911,0.7335435097162359,4.217827674798845e-05
24,1.226440977719095,0.42062975027144406,0.41965812307238215,0.9851980722612805,0.738488271068636,0.7367408837336501,3.832773180720472e-05
25,1.2334059685882595,0.40390879478827363,0.4033399024041494,0.9729292591412863,0.7419635099913119,0.7405594968395771,3.4549150281252616e-05
26,1.2302517123106453,0.43431053203040176,0.43355506611512484,0.9760399493906233,0.7445699391833188,0.7438342837939157,3.08658283817455e-05
27,1.1998330903136067,0.43409337676438653,0.43362600974668014,0.9687051226695379,0.7445699391833188,0.7441578838348852,2.730047501302265e-05
28,1.2315027206722233,0.40705754614549405,0.4064104229525506,0.9700607475307252,0.7497827975673328,0.7479484098747778,2.387507176420255e-05
29,1.2239633982794151,0.42008686210640606,0.4196051363865881,0.9735409087604947,0.7428323197219809,0.7426239237256811,2.061073738537634e-05
30,1.2225110636403163,0.41335504885993485,0.4127558986823757,0.9719305121236377,0.7437011294526499,0.7436860439341008,1.7527597583490816e-05
31,1.218165870135029,0.3946796959826276,0.39397486454825603,0.9704938150114484,0.739357080799305,0.7392368441381084,1.464466094067262e-05
32,1.1983162357161443,0.4062975027144408,0.4053570355239324,0.965879135661655,0.7515204170286707,0.7500637885914512,1.1979701719998447e-05
33,1.2197207419408693,0.46047774158523347,0.45991590325771187,0.9643751697407829,0.7497827975673328,0.7481485664099388,9.549150281252628e-06
34,1.186031646405657,0.4507057546145494,0.4502238322159217,0.9596390293704139,0.7437011294526499,0.7430272929585777,7.367991782295387e-06
35,1.1946573211914964,0.45504885993485344,0.45386395011575326,0.9602692425251007,0.7489139878366637,0.7478790328250867,5.449673790581608e-06
36,1.1920541390362713,0.4398479913137894,0.4386495667266045,0.9621711207760705,0.7445699391833188,0.7438072304792179,3.806023374435661e-06
37,1.2088969418158133,0.45971769815418023,0.4587036459501157,0.9626200464036729,0.7471763683753258,0.7458131035876815,2.447174185242322e-06
38,1.2023479296929307,0.4185667752442997,0.41788928052228197,0.9593446221616533,0.7523892267593397,0.7517347980447683,1.3815039801161715e-06
39,1.1847492410904832,0.43268186753528776,0.4317780706382248,0.9616992159022225,0.7497827975673328,0.7490827851557651,6.155829702431167e-07
40,1.1887451509634654,0.4252985884907709,0.42470398099225837,0.9574871162573496,0.7523892267593397,0.7512820621158767,1.5413331334360174e-07
